beam_width,metric,value,energy_model,fasta
40,deltaG_kcal,-9105.230000,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
75,runtime_sec,51.890000,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
75,peak_mem_gb,1.566727,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
75,deltaG_kcal,-9342.950000,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
100,runtime_sec,70.600000,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
100,peak_mem_gb,2.213165,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
100,deltaG_kcal,-9512.880000,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
125,runtime_sec,95.360000,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
125,peak_mem_gb,2.637192,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
125,deltaG_kcal,-9539.020000,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
150,runtime_sec,123.830000,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
150,peak_mem_gb,3.000198,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
150,deltaG_kcal,-9588.860000,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
175,runtime_sec,154.650000,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
175,peak_mem_gb,3.315567,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
175,deltaG_kcal,-9651.330000,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
200,runtime_sec,170.300000,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
200,peak_mem_gb,3.997589,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
200,deltaG_kcal,-9659.790000,turner1999,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
